I'm 19.	J'ai 19 ans.
I'm correcting my mistakes.	Je corrige mes erreurs.
I'm declaring an emergency.	Je lance un signal de détresse.
I'm definitely going crazy.	Je deviens sans aucun doute fou.
I'm definitely going crazy.	Je deviens certainement fou.
I'm departing this evening.	Je pars ce soir.
I'm disappointed and angry.	Je suis déçu et en colère.
I'm doing everything I can.	Je fais tout mon possible.
I'm dying for a cold drink.	Je crève d'envie d'une boisson fraîche.
I'm excited about the move.	Je suis excité à l'idée du déménagement.
I'm feeling kind of sleepy.	J'ai un peu sommeil.
I'm feeling very confident.	Je me sens très en confiance.
I'm glad that you can come.	Je me réjouis que vous puissiez venir.
I'm glad that you can come.	Je suis heureux que tu puisses venir.
I'm glad you could be here.	Je suis contente que vous soyez là.
I'm glad you could join us.	Je suis heureux que tu aies pu nous rejoindre.
I'm glad you could make it.	Je suis ravi que vous ayez pu le faire.
I'm glad you could make it.	Je suis ravi que vous ayez pu venir.
I'm glad you could make it.	Je suis ravie que vous ayez pu venir.
I'm glad you're still here.	Je suis content que tu sois toujours là.
I'm glad you're still here.	Je suis content que vous soyez toujours là.
I'm going fishing with him.	J'irai pêcher avec lui.
I'm going to buy a new car.	Je compte m'acheter une nouvelle voiture.
I'm going to go take a nap.	Je vais aller faire une sieste.
I'm going to go take a nap.	Je vais piquer un somme.
I'm going to go to my room.	Je vais aller dans ma chambre.
I'm going to join the army.	Je vais rejoindre l'armée.
I'm going to lock the door.	Je vais verrouiller la porte.
I'm going to miss you, too.	Tu vas aussi me manquer.
I'm going to miss you, too.	Vous allez aussi me manquer.
I'm going to open the wine.	Je vais ouvrir le vin.
I'm going to reconsider it.	Je vais y repenser encore une fois.
I'm going to see Tom today.	Je vais voir Tom aujourd'hui.
I'm going to take a shower.	Je vais me doucher.
I'm going to tell Tom that.	Je vais dire ça à Tom.
I'm happy the game is over.	Je suis heureux que le jeu soit fini.
I'm happy to see you again.	Je suis content de vous revoir.
I'm here to talk about Tom.	Je suis ici pour parler de Tom.
I'm just stating the facts.	Je suis simplement en train de constater.
I'm just thinking out loud.	Je ne fais que penser à haute voix.
I'm just trying to survive.	J'essaie simplement de survivre.
I'm living in a small town.	Je vis dans une petite commune.
I'm living with my mom now.	Je vis avec ma maman maintenant.
I'm living with my parents.	Je vis avec mes parents.
I'm living with my parents.	J'habite avec mes parents.
I'm looking for an old man.	Je cherche un vieil homme.
I'm no longer angry at you.	Je ne suis plus en colère après vous.
I'm no longer angry at you.	Je ne suis plus en colère après toi.
I'm not a very good artist.	Je ne suis pas un très bon artiste.
I'm not a very good singer.	Je ne suis pas très bon chanteur.
I'm not a very good singer.	Je ne suis pas très bonne chanteuse.
I'm not as rich as you are.	Je ne suis pas aussi riche que toi.
I'm not being unreasonable.	Je suis raisonnable.
I'm not doing this anymore.	Je ne le fais plus.
I'm not from a rich family.	Je ne viens pas d'une famille riche.
I'm not going to back down.	Je ne cèderai pas.
I'm not going to disappear.	Je ne vais pas disparaître.
I'm not going to sign this.	Je ne vais pas signer ceci.
I'm not good at pretending.	Je ne suis pas bon pour faire semblant.
I'm not good at pretending.	Je ne suis pas bon dans la simulation.
I'm not interested in that.	Je n'y suis pas intéressé.
I'm not interested in that.	Je n'y suis pas intéressée.
I'm not invited to parties.	On ne m'invite pas aux fêtes.
I'm not invited to parties.	Je ne suis pas invité à des fêtes.
I'm not invited to parties.	Je ne suis pas invitée à des fêtes.
I'm not keeping this thing.	Je ne vais pas garder cette chose.
I'm not selling you my car.	Je ne te vends pas ma voiture.
I'm not selling you my car.	Je ne vous vends pas ma voiture.
I'm not selling you my car.	Je refuse de te vendre ma voiture.
I'm not selling you my car.	Je refuse de vous vendre ma voiture.
I'm not sure I believe you.	Je ne suis pas sûr de te croire.
I'm not taking any chances.	Je ne vais pas prendre le moindre risque.
I'm not talking about that.	Je ne parle pas de ça.
I'm not that desperate yet.	Je ne suis pas encore si désespéré.
I'm not that desperate yet.	Je ne suis pas encore si désespérée.
I'm not very good at chess.	Je ne suis pas très bon aux échecs.
I'm not very happy, either.	Je ne suis pas très heureux non plus.
I'm not who you think I am.	Je ne suis pas celui que tu penses.
I'm not who you think I am.	Je ne suis pas celle que tu penses.
I'm not who you think I am.	Je ne suis pas celui que vous pensez.
I'm not who you think I am.	Je ne suis pas celle que vous pensez.
I'm not worried about them.	Je ne me fais pas de souci pour elles.
I'm off to Turkey tomorrow.	Je pars en Turquie demain.
I'm one of Tom's teammates.	Je suis l'un des coéquipiers de Tom.
I'm one of Tom's teammates.	Je suis l'une des coéquipières de Tom.
I'm only telling the truth.	Je dis seulement la vérité.
I'm painting an Easter egg.	Je décore un œuf de Pâques.
I'm playing the guitar now.	Je joue de la guitare en ce moment.
I'm quite unhappy about it.	Je me sens assez malheureux à ce sujet.
I'm really angry right now.	Je suis vraiment en colère, là.
I'm reluctant to visit him.	Je rechigne à lui rendre visite.
I'm satisfied with my work.	Je suis content de mon travail.
I'm saving money for a car.	J'épargne pour une voiture.
I'm so sorry for your loss.	Je suis désolé pour ta perte.
I'm sorry I lost my temper.	Désolé, j'ai perdu mon sang-froid.
I'm sorry about last night.	Je suis désolé au sujet de la nuit dernière.
I'm sorry about last night.	Je suis désolée au sujet de la nuit dernière.
I'm sorry about last night.	Je suis désolé à propos de hier au soir.
I'm sorry about last night.	Je suis désolé à propos de hier soir.
I'm sorry about last night.	Je suis désolé à propos de cette nuit.
I'm sorry about last night.	Je suis désolé à propos de la nuit dernière.
I'm sorry about last night.	Je suis désolée à propos de hier au soir.
I'm sorry about last night.	Je suis désolée à propos de hier soir.
I'm sorry about last night.	Je suis désolée à propos de la nuit dernière.
I'm sorry about last night.	Je suis désolée à propos de cette nuit.
I'm sorry about my mistake.	Je suis désolé pour ce malentendu.
I'm sorry my father is out.	Je suis désolé, mon père est sorti.
I'm sorry to interrupt you.	Excusez-moi de vous interrompre.
I'm sorry, I can't do this.	Désolé, je ne peux pas faire ça.
I'm stuck in a traffic jam.	Je suis coincé dans un embouteillage.
I'm stuck in a traffic jam.	Je suis coincée dans un embouteillage.
I'm sure he'll leave early.	Je suis sûr qu'il partira tôt.
I'm sure he'll leave early.	Je suis sûre qu'il partira tôt.
I'm taking my book with me.	Je prends mon livre avec moi.
I'm telling the truth, Tom.	Je dis la vérité, Tom.
I'm thankful for my family.	Je suis reconnaissant envers ma famille.
I'm thankful for vacations.	Je suis content de pouvoir profiter des vacances.
I'm the one who built this.	Je suis celui qui a construit ceci.
I'm the one who built this.	Je suis celle qui a construit ceci.
I'm the one who killed Tom.	Je suis celui qui a tué Tom.
I'm the owner of this land.	Je suis le propriétaire de ce terrain.
I'm thin, but not too thin.	Je suis mince, mais pas trop mince.
I'm tired of being careful.	J'en ai marre d'être prudent.
I'm tired of playing games.	J'en ai assez de jouer.
I'm tougher than you think.	Je suis plus solide que tu ne le penses.
I'm trying to learn French.	J'essaye d'apprendre le français.
I'm very ashamed of myself.	J'ai très honte de moi.
I'm very excited and happy.	Je suis très excité et content.
I'm very sleepy today, too.	Je suis très endormi aujourd'hui, également.
I'm very sorry that I lied.	Je suis vraiment désolé d'avoir menti.
I'm very sorry that I lied.	Je suis vraiment désolée d'avoir menti.
I'm very worried about you.	Je suis très inquiet à ton sujet.
I'm very worried about you.	Je suis très inquiet à votre sujet.
I'm well aware of the risk.	Je suis bien conscient du risque.
I'm working for McDonald's.	Je travaille chez McDonald's.
I'm worried about the baby.	Je suis inquiète pour le bébé.
I'm worried about the baby.	Je suis inquiet pour le bébé.
She is a very good teacher.	Elle est un très bon professeur.
She is always hard at work.	Elle est toujours âpre au travail.
She is anxious to meet you.	Elle est très désireuse de te rencontrer.
She is anxious to meet you.	Elle est très désireuse de vous rencontrer.
She is ashamed to speak up.	Elle a honte de s'exprimer.
She is busy cooking dinner.	Elle est occupée à préparer le dîner.
She is capable of anything.	Elle est capable de tout.
She is currently in danger.	Elle est en danger.
She is dressed in her best.	Elle s'est mise sur son trente-et-un.
She is forbidden to go out.	Elle est privée de sortie.
She is her own worst enemy.	Elle est son propre pire ennemi.
She is interested in music.	Elle s'intéresse à la musique.
She is just going shopping.	Elle va juste faire des emplettes.
She is just going shopping.	Elle va juste faire des courses.
She is much taller than me.	Elle est bien plus grande que moi.
She is no ordinary student.	Ce n'est pas une élève ordinaire.
She is nothing but a child.	Ce n'est rien qu'une enfant.
She is older and wiser now.	Elle est plus âgée et plus sage, maintenant.
She is playing with a doll.	Elle joue à la poupée.
She is quick at everything.	Elle est rapide pour tout.
She is quick at everything.	Elle est rapide en tout.
She is quite a clever girl.	C'est une jeune fille assez maligne.
She is terrible at cooking.	Elle est très mauvaise cuisinière.
She is the editor-in-chief.	Elle est l’éditeur en chef.
She is very fond of gossip.	Elle adore les commérages.
She isn't afraid of snakes.	Elle n'a pas peur des serpents.
She sang better than usual.	Elle a mieux chanté que d'ordinaire.
She saw him at the station.	Elle le vit à la gare.
She saw him at the station.	Elle l'a vu à la gare.
She saw me enter the store.	Elle m'a vu pénétrer dans le magasin.
She saw me enter the store.	Elle m'a vue pénétrer dans le magasin.
She says that she is happy.	Elle dit qu'elle est heureuse.
She says that she's lonely.	Elle dit qu'elle est esseulée.
She says that she's lonely.	Elle dit être esseulée.
She seems happy to be here.	Elle semble heureuse d'être ici.
She seems to have been ill.	Elle semble avoir été malade.
She set a new world record.	Elle a établi un nouveau record du monde.
She should help her mother.	Elle devrait aider sa mère.
She showed her album to me.	Elle m'a montré son album.
She slowly closed her eyes.	Elle ferma lentement les yeux.
She smiled at him uneasily.	Elle lui sourit avec gêne.
She smiled at him uneasily.	Elle lui a souri avec gêne.
She speaks a little Arabic.	Elle parle un peu l'arabe.
She spoke to me in Spanish.	Elle me parla en espagnol.
She stared him in the face.	Elle le regarda droit dans les yeux.
She stared him in the face.	Elle l'a regardé droit dans les yeux.
She stayed here by herself.	Elle restait là toute seule.
She stayed out in the rain.	Elle est restée dehors sous la pluie.
She suddenly became famous.	Elle est soudainement devenue célèbre.
She's getting on all right.	Elle s'en sort très bien.
She's going to have a baby.	Elle va avoir un bébé.
She's got such lovely eyes.	Elle a de si beaux yeux.
She's loved by her friends.	Elle est aimée de ses amis.
She's loved by her friends.	Elle est aimée de ses amies.
She's never fallen in love.	Elle n'est jamais tombée amoureuse.
She's sitting on the bench.	Elle est assise sur le banc.
She's starting to annoy me.	Elle commence à m'agacer !
She's wearing a loose coat.	Elle porte un manteau ample.
They are in the same class.	Ils sont dans la même classe.
They are in the same class.	Elles sont dans la même classe.
They are well looked after.	On s'occupe bien d'eux.
They're brother and sister.	Ils sont frère et sœur.
They're cleaning the beach.	Ils nettoient la plage.
They're cleaning the beach.	Ils sont en train de nettoyer la plage.
They're in the science lab.	Ils sont dans le laboratoire de sciences.
They're in the science lab.	Elles sont dans le laboratoire de sciences.
They're out of their minds.	Ils ont perdu l'esprit.
They're out of their minds.	Elles ont perdu l'esprit.
They're probably Americans.	Ils sont probablement étasuniens.
They're probably Americans.	Elles sont probablement étasuniennes.
They're very close friends.	Ce sont des amis très proches.
They're very close friends.	Ce sont des amies très proches.
We are about to leave here.	Nous sommes sur le point de partir d'ici.
We are going to the market.	Nous nous rendons au marché.
We are next-door neighbors.	Nous sommes les voisins d'à côté.
We are not to be disturbed.	Il ne faut pas nous déranger.
We are sure of his success.	Nous sommes convaincus de son succès.
We are sure of his success.	Nous sommes convaincues de son succès.
We're all in the same boat.	Nous sommes tous sur le même bateau.
We're all in this together.	Nous sommes tous sur le même bateau.
We're all in this together.	Nous y sommes tous ensemble.
We're all on the same team.	Nous faisons tous partie de la même équipe.
We're all on the same team.	Nous faisons toutes partie de la même équipe.
We're all on the same team.	Nous appartenons tous à la même équipe.
We're all on the same team.	Nous appartenons toutes à la même équipe.
We're all working together.	Nous travaillons tous ensemble.
We're almost like brothers.	Nous sommes presque comme des frères.
We're aware of the problem.	Nous sommes conscients du problème.
We're better than they are.	Nous sommes meilleurs qu'eux.
We're better than they are.	Nous sommes meilleures qu'elles.
We're better than they are.	Nous sommes meilleures qu'eux.
We're better than they are.	Nous sommes meilleurs qu'elles.
We're buying movie tickets.	Nous achetons des billets de cinéma.
We're getting a lot better.	Nous allons beaucoup mieux.
We're going back to Boston.	Nous retournons à Boston.
We're going to do it again.	Nous allons le refaire.
We're going to finish this.	On va finir ça.
We're going to finish this.	Nous allons finir ceci.
We're going to play tennis.	On va jouer au tennis.
We're going to play tennis.	Nous allons jouer au tennis.
We're heading for disaster.	Nous allons au devant d'un désastre.
We're making a big mistake.	Nous faisons une grave erreur.
We're making a big mistake.	Nous faisons une grosse erreur.
We're meant for each other.	Nous sommes faits l'un pour l'autre.
We're meant for each other.	Nous sommes destinés l'un à l'autre.
We're meant to be together.	Nous sommes censés être ensemble.
We're not done playing yet.	Nous n'avons pas encore fini de jouer.
We're not from around here.	Nous ne sommes pas du coin.
We're not from around here.	Nous ne sommes pas d'ici.
We're not getting anywhere.	Nous n'allons nulle part.
We're not going to make it.	Ça va pas le faire.
We're not going to make it.	Nous n'allons pas y arriver.
We're not going to make it.	Nous n'allons pas y parvenir.
We're not ready to do that.	Nous ne sommes pas prêts à faire cela.
We're not ready to do that.	Nous ne sommes pas prêtes à faire ça.
We're not throwing it away.	Nous n'allons pas le jeter.
We're not together anymore.	Nous ne sommes plus ensemble.
We're on the same page now.	Nous sommes maintenant en phase.
We're practically brothers.	Nous sommes pratiquement frères !
We're pretty proud of that.	Nous sommes assez fiers de cela.
We're running out of ideas.	Nous commençons à être à court d'idées.
You are absolutely correct.	Vous avez parfaitement raison.
You are always complaining.	Tu te plains toujours.
You are always complaining.	Vous vous plaignez toujours.
You are always complaining.	Tu as toujours à te plaindre.
You are always watching TV.	Tu regardes tout le temps la télé.
You are always watching TV.	Vous regardez tout le temps la télévision.
You are deceiving yourself.	Vous vous leurrez.
You are deceiving yourself.	Tu te leurres.
You are his brother, right?	Tu es son frère, n'est-ce pas ?
You are on the wrong plane.	Vous vous êtes trompé d'avion.
You are on the wrong train.	Tu es dans le mauvais train.
You are taller than she is.	Vous êtes plus grand qu'elle.
You are taller than she is.	Tu es plus grand qu'elle.
You are taller than she is.	Tu es plus grande qu'elle.
You are taller than she is.	Vous êtes plus grande qu'elle.
You are taller than she is.	Vous êtes plus grands qu'elle.
You are taller than she is.	Vous êtes plus grandes qu'elle.
You are tired, and so am I.	Tu es fatigué, et moi aussi.
You are unbelievably naive.	Tu es incroyablement naïf.
You aren't like the others.	Tu n'es pas comme les autres.
You aren't like the others.	Vous n'êtes pas comme les autres.
You're Germans, aren't you?	Vous êtes Allemands, n'est-ce pas ?
You're a jolly good feller.	T'es un sacré coco.
You're a jolly good feller.	Vous êtes un sacré coco.
You're a jolly good feller.	T'es un joyeux drille.
You're a jolly good feller.	Vous êtes un joyeux drille.
You're a very good teacher.	Tu es un excellent professeur.
You're acting like a child.	Tu te comportes comme un enfant.
You're acting like a child.	Tu agis comme un enfant.
You're acting like a child.	Vous vous comportez comme une enfant.
You're acting like a child.	Tu agis comme une enfant.
You're an interesting girl.	Tu es une fille intéressante.
You're an interesting girl.	Vous êtes une fille intéressante.
You're awfully quiet today.	Tu es terriblement silencieux aujourd'hui.
You're awfully quiet today.	Vous êtes atrocement silencieuse aujourd'hui.
You're in pain, aren't you?	Vous souffrez, n'est-ce pas ?
You're in pain, aren't you?	Tu souffres, n'est-ce pas ?
You're incredibly talented.	Vous êtes incroyablement talentueuse.
You're incredibly talented.	Vous êtes incroyablement talentueux.
You're incredibly talented.	Vous êtes incroyablement talentueuses.
You're incredibly talented.	Tu es incroyablement talentueuse.
You're incredibly talented.	Tu es incroyablement talentueux.
You're my only real friend.	Tu es ma seule véritable amie.
You're my only real friend.	Vous êtes ma seule véritable amie.
You're my only real friend.	Tu es mon seul véritable ami.
You're my only real friend.	Vous êtes mon seul véritable ami.
You're not a child anymore.	Tu n'es plus un bébé.
You're not allowed in here.	Vous n'êtes pas autorisé à pénétrer ici.
You're not allowed in here.	Tu n'es pas autorisé à pénétrer ici.
You're not allowed in here.	Tu n'es pas autorisée à pénétrer ici.
You're not fooling anybody.	Tu ne trompes personne.
You're not fooling anybody.	Vous ne trompez personne.
You're not listening to me.	Tu ne m'écoutes pas.
You're not listening to me.	Vous ne m'écoutez pas.
You're not sleeping enough.	Tu ne dors pas suffisamment.
You're not sleeping enough.	Vous ne dormez pas suffisamment.
You're part of the problem.	Vous faites partie du problème.
You're part of the problem.	Tu fais partie du problème.
You're really in bad shape.	Tu es vraiment en mauvais état.
You're really in bad shape.	Vous êtes vraiment en mauvais état.
You're sitting in my chair.	Tu es assis sur ma chaise.
You're sitting in my chair.	Tu es assise sur ma chaise.
You're stupid to trust him.	Tu es stupide de lui faire confiance.
You're stupid to trust him.	Vous êtes idiot de vous fier à lui.
You're stupid to trust him.	Vous êtes stupides de vous fier à lui.
You're supposed to do that.	Tu es censé faire ça.
You're supposed to do that.	Tu es supposée faire ça.
You're supposed to do that.	Vous êtes censé faire cela.
You're supposed to do that.	Vous êtes censés faire ça.
You're supposed to do that.	Vous êtes censées faire cela.
You're testing my patience.	Tu mets ma patience à l'épreuve.
You're testing my patience.	Vous mettez ma patience à l'épreuve.
You're the love of my life.	Tu es l'amour de ma vie.
You're unbelievably stupid.	Vous êtes incroyablement stupide.
You're unbelievably stupid.	Tu es incroyablement stupide.
You're under investigation.	Vous faites l'objet d'une enquête.
You're under investigation.	Tu fais l'objet d'une enquête.
You're wealthy, aren't you?	Tu es riche, n'est-ce pas ?
You're wealthy, aren't you?	Vous êtes riches, n'est-ce pas ?
You're winning, aren't you?	Tu gagnes, n'est-ce pas ?
You're winning, aren't you?	Vous gagnez, n'est-ce pas ?
You're worried, aren't you?	Vous êtes soucieux, n'est-ce pas ?
You're worried, aren't you?	Vous êtes soucieuse, n'est-ce pas ?
You're worried, aren't you?	Vous êtes soucieuses, n'est-ce pas ?
You're worried, aren't you?	Vous êtes inquiet, n'est-ce pas ?
You're worried, aren't you?	Vous êtes inquiètes, n'est-ce pas ?
You're worried, aren't you?	Vous êtes inquiète, n'est-ce pas ?
You're worried, aren't you?	Vous êtes inquiets, n'est-ce pas ?
You're worried, aren't you?	Tu es inquiète, pas vrai ?
You're worried, aren't you?	Tu es inquiet, pas vrai ?
He is a bit like his father.	Il est un peu comme son père.
He is a formidable opponent.	C'est un adversaire redoutable.
He is a head taller than me.	Il fait une tête de plus que moi.
He is a mathematical genius.	C'est un génie des mathématiques.
He is a novelist and artist.	C'est un romancier et un artiste.
He is a promising young man.	C'est un jeune homme prometteur.
He is a very careful driver.	C'est un conducteur très prudent.
He is almost always at home.	Il est presque toujours chez lui.
He is always friendly to me.	Il est toujours sympathique envers moi.
He is always neatly dressed.	Il est toujours soigneusement vêtu.
He is an authority on China.	Il est une autorité en Chine.
He is an old friend of mine.	C'est un vieil ami à moi.
He is as tall as his father.	Il est aussi grand que son père.
He is as tall as my brother.	Il est aussi grand que mon frère.
He is busy learning English.	Il est occupé à apprendre l'anglais.
He is clumsy with his hands.	Il est maladroit de ses mains.
He is digging his own grave.	Il creuse sa propre tombe.
He is giving me a hard time.	Il se montre difficile avec moi.
He is giving me a hard time.	Il est casse-couilles avec moi.
He is giving me a hard time.	Il me donne du mal.
He is good at taking photos.	Il est doué pour prendre des photos.
He is in his early thirties.	Il est au début de la trentaine.
He is innocent of the crime.	Il est innocent du crime.
He is likely to arrive soon.	Il est probable qu'il arrive bientôt.
He is more clever than I am.	Il est plus intelligent que moi.
He is more clever than wise.	Il est plus intelligent que sage.
He is more crafty than wise.	Il est plus rusé que sage.
He is much taller than I am.	Il est plus grand que moi.
He is no longer in business.	Il n'est plus dans les affaires.
He is no longer living here.	Il n'habite plus ici.
He is no match for his wife.	Il ne peut pas se mesurer à sa femme.
He is not likely to succeed.	Il semble probable qu'il échoue.
He is not much of an artist.	Il n'est pas vraiment un artiste.
He is not very good company.	Il n'est pas de très bonne compagnie.
He is often late for school.	Il est souvent en retard à l'école.
He is on night duty tonight.	Il travaille de nuit ce soir.
He is one of my old friends.	C'est l'un de mes vieux amis.
He is pleased with his work.	Son travail lui plaît.
He is proficient in English.	Il est très compétent en anglais.
He is rarely in a good mood.	Il est rarement de bonne humeur.
He is rather hard to please.	Il est plutôt difficile à contenter.
He is respected by everyone.	Il est respecté par tout le monde.
He is roasting coffee beans.	Il torréfie des fèves de café.
He is standing on the stage.	Il se tient sur la scène.
He is still very much alive.	Il est encore fringant.
He is suffering from a cold.	Il souffre d'un rhume.
He is sure to pass the exam.	Il est sûr de réussir l'examen.
He is the head of marketing.	C'est le patron du marketing.
He is the taller of the two.	Il est le plus grand des deux.
He is tremendously handsome.	Il est extrêmement beau.
He is unfit to be a teacher.	Il n'est pas apte à être enseignant.
He's a freelance journalist.	Il est pigiste.
He's a freelance journalist.	C'est un pigiste.
He's a freelance journalist.	C'est un journaliste indépendant.
He's a typical Japanese man.	C'est un Japonais typique.
He's able to speak Japanese.	Il sait parler japonais.
He's always late for school.	Il est toujours en retard à l'école.
He's an independent thinker.	C'est un esprit indépendant.
He's better at it than I am.	Il y est meilleur que je ne le suis.
He's brighter than they are.	Il est plus intelligent qu'eux.
He's checking his cellphone.	Il vérifie son téléphone portable.
He's going to join our club.	Il va se joindre à notre cercle.
He's kind of cute, isn't he?	Il est assez mignon, n'est-ce pas ?
He's kind of cute, isn't he?	Il est assez mignon, non ?
He's kind of cute, isn't he?	Il est mignon, dans son genre, non ?
He's not as tall as you are.	Il n'est pas aussi grand que toi.
He's rough around the edges.	Il est un peu rude aux encoignures.
He's screaming, not singing.	Il hurle, il ne chante pas.
He's smoking more than ever.	Il fume plus que jamais.
He's staying with his uncle.	Il reste chez son oncle.
He's the cutest boy in town.	C'est le garçon le plus mignon en ville.
He's the one who touched me.	C'est celui qui m'a tripotée.
He's the one who touched me.	C'est celui qui m'a tripoté.
He's very likely to be late.	Il est très probable qu'il soit en retard.
He's working at his English.	Il travaille son anglais.
I am a gentleman's daughter.	Je suis la fille d'un gentilhomme.
I am dying for a cold drink.	Je crève d'envie d'une boisson fraîche.
I am dying to see her again.	J'ai très envie de la revoir.
I am dying to see her again.	Je crève d'envie de la revoir.
I am going to Osaka station.	Je vais à la gare d'Osaka.
I am going to buy a new car.	Je vais acheter une nouvelle voiture.
I am grateful for your help.	Je te suis reconnaissant pour ton aide.
I am interested in swimming.	Je m'intéresse à la natation.
I am interested in swimming.	La natation m'intéresse.
I am leaving at ten o'clock.	Je partirai à dix heures.
I am looking for a job, sir.	Je recherche un emploi, Monsieur.
I am looking for my brother.	Je cherche mon frère.
I am looking for my glasses.	Je cherche mes lunettes.
I am loved by all my family.	Je suis aimé de toute ma famille.
I am not certain about that.	Je n'en suis pas sûr.
I am not certain about that.	Je n'en suis pas certain.
I am not certain about that.	Je ne suis pas certain de cela.
I am not certain about that.	Je n'en suis pas sûre.
I am on good terms with him.	Je suis en bons termes avec lui.
I am prepared for the worst.	Je suis prêt pour le pire.
I am proud to work with you.	Je suis fier de travailler avec vous.
I am running short of money.	Je suis à court d'argent.
I am very sensitive to heat.	Je suis très sensible à la chaleur.
I am working on my new book.	Je travaille à mon nouveau livre.
I am yours and you are mine.	Je suis à toi et tu es à moi.
I am yours and you are mine.	Je suis à vous et vous êtes à moi.
I am yours and you are mine.	Je suis tien et tu es mien.
I am yours and you are mine.	Je suis tienne et tu es mien.
I am yours and you are mine.	Je suis tienne et tu es mienne.
I am yours and you are mine.	Je suis tien et tu es mienne.
I am yours and you are mine.	Je suis vôtre et vous êtes mien.
I am yours and you are mine.	Je suis vôtre et vous êtes mienne.
I am yours and you are mine.	Je suis vôtre et vous êtes miens.
I am yours and you are mine.	Je suis vôtre et vous êtes miennes.
I'm a bit nervous right now.	Je suis un peu nerveux en ce moment.
I'm a licensed veterinarian.	Je suis vétérinaire mandaté.
I'm a little angry with you.	Je suis un peu en colère contre toi.
I'm a little thirsty myself.	J'ai moi-même un petit peu soif.
I'm a management consultant.	Je suis conseiller en gestion.
I'm a native French speaker.	Je suis de langue maternelle française.
I'm a year younger than Tom.	Je suis un an plus jeune que Tom.
I'm afraid I can't help you.	Je crains de ne pouvoir t'aider.
I'm afraid I have to go now.	Je suis désolé, je dois partir maintenant.
I'm afraid I have to go now.	J'ai bien peur de devoir y aller maintenant.
I'm all for your suggestion.	Je suis complètement en faveur de ta suggestion.
I'm already full, thank you.	Je suis déjà rassasié, merci beaucoup.
I'm always surprised by him.	Il ne cesse de me surprendre.
I'm an actress, not a model.	Je suis une actrice, pas un mannequin.
I'm an actress, not a model.	Je suis actrice, non mannequin.
I'm ashamed that I did that.	J'ai honte d'avoir fait ça.
I'm ashamed that I did that.	J'ai honte d'avoir fait cela.
I'm better-looking than Tom.	Je suis plus beau que Tom.
I'm certain that he'll come.	Je suis certain qu'il viendra.
I'm certain that he'll come.	Je suis sûr qu'il viendra.
I'm deeply offended by this.	Je suis profondément offensé par ceci.
I'm deeply offended by this.	Je suis profondément offensée par ceci.
I'm doing that this morning.	Je fais ça ce matin.
I'm done fooling around now.	J'en ai fini de faire l'andouille.
I'm excited and ready to go.	Je suis excité et prêt à partir.
I'm fond of taking pictures.	J'adore prendre des photos.
I'm getting tired of losing.	Perdre me fatigue.
I'm glad it's taken care of.	Je suis content que ce soit pris en charge.
I'm going shopping tomorrow.	Je vais faire des courses demain.
I'm going shopping tomorrow.	Je vais demain faire des emplettes.
I'm going to be your lawyer.	Je vais être ton avocat.
I'm going to be your lawyer.	Je vais être votre avocat.
I'm going to buy some bread.	Je vais acheter du pain.
I'm going to do you a favor.	Je vais te faire une faveur.
I'm going to do you a favor.	Je vais vous faire une faveur.
I'm going to miss you a lot.	Vous allez beaucoup me manquer.
I'm going to miss you a lot.	Tu vas beaucoup me manquer.
I'm going to need your help.	Je vais avoir besoin de votre aide.
I'm going to need your help.	J'aurai besoin de votre aide.
I'm going to need your help.	J'aurai besoin de ton aide.
I'm going to propose to her.	Je vais la demander en mariage.
I'm going to shoot him dead.	Je vais l'abattre.
I'm going to swim every day.	Je vais nager chaque jour.
I'm going to swim every day.	Je vais nager quotidiennement.
I'm going to tell everybody.	Je vais le dire à tout le monde.
I'm having trouble focusing.	J'ai du mal à me concentrer.
I'm having trouble sleeping.	J'ai du mal à dormir.
I'm here for another reason.	Je suis ici pour une autre raison.
I'm here to see the manager.	Je suis ici pour voir le gérant.
I'm in Boston all this week.	Je suis à Boston toute cette semaine.
I'm in the mood to talk now.	Je suis maintenant disposé à discuter.
I'm in the mood to talk now.	Je suis maintenant disposée à discuter.
I'm in the same boat as you.	Vous et moi sommes dans le même bateau.
I'm in the same boat as you.	Toi et moi sommes dans le même bateau.
I'm interested in this book.	Ce livre m'intéresse.
I'm interested in your work.	Votre travail m'intéresse.
I'm interested in your work.	Ton travail m'intéresse.
I'm just going out a minute.	Je sors juste une minute.
I'm just looking, thank you.	Je ne fais que regarder, merci.
I'm just waiting for a call.	J'attends juste un appel.
I'm looking for another job.	Je suis à la recherche d'un autre boulot.
I'm looking for the manager.	Je cherche le gérant.
I'm looking forward to that.	J'en suis impatient.
I'm looking forward to that.	J'en suis impatiente.
I'm looking forward to that.	Je m'en réjouis d'avance.
I'm much older than you are.	Je suis bien plus vieux que toi.
I'm much older than you are.	Je suis bien plus vieux que vous.
I'm much older than you are.	Je suis bien plus vieille que toi.
I'm much older than you are.	Je suis bien plus vieille que vous.
I'm not a young man anymore.	Je ne suis plus un jeune homme.
I'm not allowed to help you.	Je ne suis pas autorisé à vous aider.
I'm not allowed to help you.	Je ne suis pas autorisée à vous aider.
I'm not allowed to help you.	Je ne suis pas autorisé à t'aider.
I'm not allowed to help you.	Je ne suis pas autorisée à t'aider.
I'm not ashamed to tell you.	Je n'ai pas honte de te dire.
